"CVX"
"Chevron Corperation"


date,open,high,low,close,volume
1970-01-02,12.78,13.0625,12.78,13.0625,526400
1970-01-05,13.0625,13.22,13.03,13.125,1121600
1970-01-06,13.125,13.1875,12.875,12.9375,553600
1970-01-07,12.9375,12.97,12.78,12.905,451200
1970-01-08,13.0625,13.25,13.0625,13.155,635200
1970-01-09,13.155,13.1875,13.095,13.1875,515200
1970-01-12,13.1875,13.28,13,13.095,334400
1970-01-13,13.095,13.095,12.875,12.905,372800
1970-01-14,12.905,12.905,12.405,12.5,1124800
1970-01-15,12.5,12.5625,12.405,12.47,336000
1970-01-16,12.47,12.5,12.345,12.47,425600
1970-01-19,12.47,12.47,12.345,12.4375,508800
1970-01-20,12.4375,12.4375,12.28,12.3125,588800
1970-01-21,12.3125,12.345,12.1875,12.22,454400
1970-01-22,12.22,12.375,12.125,12.25,640000
1970-01-23,12.25,12.25,12.125,12.1875,427200
1970-01-26,12.1875,12.1875,11.905,12.095,732800
1970-01-27,12.0625,12.0625,11.78,12.0625,540800
1970-01-28,12.0625,12.125,11.655,11.655,499200
1970-01-29,11.655,11.75,11.5,11.625,696000
1970-01-30,11.625,11.75,11.4375,11.53,817600
1970-02-02,11.53,11.625,11.4375,11.5,937600
1970-02-03,11.5,11.53,11.375,11.405,1971200
1970-02-04,11.405,11.53,11.405,11.5,534400
1970-02-05,11.5,11.5,11.405,11.5,337600
1970-02-06,11.5,11.5,11.405,11.4375,272000
1970-02-09,11.4375,11.5,11.405,11.405,558400
1970-02-10,11.405,11.47,10.8125,10.8125,996800
1970-02-11,10.8125,11.0625,10.5625,11.0625,878400
1970-02-12,11.0625,11.1875,10.6875,10.8125,816000
1970-02-13,10.8125,11.03,10.655,10.875,492800
1970-02-16,10.875,11,10.78,11,488000
1970-02-17,11,11.03,10.845,10.9375,451200
1970-02-18,11,11.25,11,11.22,1028800
1970-02-19,11.25,11.4375,11.25,11.345,824000
1970-02-20,11.345,11.5,11.345,11.5,1166400
1970-02-24,11.5,11.5,11.405,11.5,1043200
1970-02-25,11.5625,11.875,11.5625,11.875,593600
1970-02-26,11.875,12.095,11.845,12,862400
1970-02-27,12,12.125,11.875,11.875,1246400
1970-03-02,11.875,11.875,11.5625,11.655,518400
1970-03-03,11.655,11.75,11.405,11.595,544000
1970-03-04,11.595,11.72,11.47,11.5,422400
1970-03-05,11.47,11.47,11.345,11.4375,684800
1970-03-06,11.4375,11.53,11.375,11.53,481600
1970-03-09,11.53,11.6875,11.375,11.47,524800
1970-03-10,11.47,11.595,11.405,11.53,430400
1970-03-11,11.53,11.595,11.5,11.53,843200
1970-03-12,11.53,11.53,11.405,11.47,539200
1970-03-13,11.47,11.47,11.1875,11.3125,688000
1970-03-16,11.22,11.22,10.8125,11.22,732800
1970-03-17,11.22,11.28,11.0625,11.22,564800
1970-03-18,11.22,11.4375,11.155,11.3125,436800
1970-03-19,11.3125,11.3125,11.03,11.03,827200
1970-03-20,11.03,11.0625,10.9375,11.0625,372800
1970-03-23,11,11,10.845,10.9375,539200
1970-03-24,10.9375,11.125,10.875,11.03,355200
1970-03-25,11.095,11.47,11.095,11.25,987200
1970-03-26,11.22,11.22,10.875,11,1644800
1970-03-30,11,11,10.905,10.97,628800
1970-03-31,10.97,11.155,10.9375,11.125,579200
1970-04-01,11.125,11.345,11.125,11.345,1028800
1970-04-02,11.345,11.345,11.03,11.125,1150400
1970-04-03,11.125,11.25,11.0625,11.25,449600
1970-04-06,11.25,11.3125,11.155,11.28,384000
1970-04-07,11.28,11.28,11.125,11.125,422400
1970-04-08,11.125,11.22,11.095,11.22,321600
1970-04-09,11.1875,11.1875,11,11.1875,520000
1970-04-10,11.1875,11.1875,11.095,11.125,360000
1970-04-13,11.125,11.1875,11.03,11.0625,408000
1970-04-14,11.0625,11.0625,10.9375,10.97,563200
1970-04-15,10.97,11,10.905,10.97,385600
1970-04-16,10.97,10.97,10.75,10.8125,816000
1970-04-17,10.8125,10.905,10.75,10.845,286400
1970-04-20,10.845,10.9375,10.8125,10.845,350400
1970-04-21,10.845,10.905,10.78,10.845,302400
1970-04-22,10.845,10.845,10.625,10.78,440000
1970-04-23,10.78,10.8125,10.625,10.75,516800
1970-04-24,10.75,10.8125,10.5625,10.595,548800
1970-04-27,10.595,10.6875,10.5,10.5,582400
1970-04-28,10.5,10.595,10.25,10.345,860800
1970-04-29,10.345,10.47,10,10.4375,873600
1970-04-30,10.4375,10.595,10.345,10.4375,430400
1970-05-01,10.4375,10.4375,10.125,10.4375,707200
1970-05-04,10.4375,10.47,10.125,10.25,537600
1970-05-05,10.22,10.22,10.03,10.0625,633600
1970-05-06,10.0625,10.125,9.9375,10.03,1187200
1970-05-07,10.03,10.095,9.905,10.03,563200
1970-05-08,10.03,10.095,9.97,10,531200
1970-05-11,10,10.03,9.875,9.97,580800
1970-05-12,9.97,10.125,9.8125,9.97,913600
1970-05-13,9.97,10,9.655,9.905,742400
1970-05-14,9.905,10.22,9.875,10.0625,846400
1970-05-15,10.0625,10.25,9.97,10.25,449600
1970-05-18,10.25,10.375,10.125,10.375,518400
1970-05-19,10.375,10.47,10.1875,10.1875,273600
1970-05-20,10.1875,10.25,10,10.0625,337600
1970-05-21,10.0625,10.125,9.875,9.9375,577600
1970-05-22,9.9375,10.22,9.905,9.97,348800
1970-05-25,9.97,10,9.875,9.9375,334400
1970-05-26,9.9375,9.97,9.78,9.9375,532800
1970-05-27,9.9375,10.4375,9.905,10.25,625600
1970-05-28,10.28,10.655,10.28,10.625,505600
1970-05-29,10.625,10.905,10.53,10.875,544000
1970-06-01,10.875,11.125,10.78,11.095,537600
1970-06-02,11.095,11.155,10.75,10.97,435200
1970-06-03,10.97,11.22,10.875,11.155,420800
1970-06-04,11.155,11.25,10.78,10.78,587200
1970-06-05,10.72,10.72,10.5,10.53,382400
1970-06-08,10.53,10.625,10.405,10.47,334400
1970-06-09,10.4375,10.4375,10.25,10.28,260800
1970-06-10,10.28,10.345,10.155,10.28,406400
1970-06-11,10.28,10.3125,10.0625,10.25,353600
1970-06-12,10.25,10.345,10.155,10.28,329600
1970-06-15,10.25,10.25,10.155,10.25,294400
1970-06-16,10.25,10.595,10.155,10.47,491200
1970-06-17,10.47,10.655,10.3125,10.405,376000
1970-06-18,10.405,10.53,10.25,10.53,452800
1970-06-19,10.53,10.595,10.405,10.47,355200
1970-06-22,10.4375,10.4375,10.25,10.345,288000
1970-06-23,10.345,10.375,10.25,10.28,321600
1970-06-24,10.22,10.22,10,10.095,448000
1970-06-25,10.095,10.125,10,10.0625,300800
1970-06-26,10.0625,10.095,10,10.095,291200
1970-06-29,10.0625,10.0625,10,10.0625,238400
1970-06-30,10.0625,10.095,10,10.0625,313600
1970-07-01,10.0625,10.095,9.9375,10.03,321600
1970-07-02,10.03,10.095,9.9375,9.97,307200
1970-07-06,9.97,9.97,9.655,9.72,907200
1970-07-07,9.72,9.75,9.5625,9.625,545600
1970-07-08,9.625,9.72,9.5,9.72,585600
1970-07-09,9.72,9.8125,9.655,9.75,529600
1970-07-10,9.8125,9.9375,9.8125,9.905,556800
1970-07-13,9.9375,10,9.9375,10,464000
1970-07-14,10,10.0625,9.905,9.9375,387200
1970-07-15,9.9375,10.0625,9.905,9.97,366400
1970-07-16,10.0625,10.28,10.0625,10.25,748800
1970-07-17,10.28,10.5625,10.28,10.5625,838400
1970-07-20,10.5625,10.6875,10.53,10.625,811200
1970-07-21,10.625,10.75,10.53,10.625,716800
1970-07-22,10.625,10.72,10.5,10.595,459200
1970-07-23,10.595,11.125,10.5625,11,1011200
1970-07-24,11,11.22,10.8125,10.875,590400
1970-07-27,10.875,10.97,10.8125,10.875,475200
1970-07-28,10.875,10.905,10.75,10.75,492800
1970-07-29,10.75,10.905,10.75,10.78,344000
1970-07-30,10.8125,10.97,10.8125,10.9375,822400
1970-07-31,10.97,11.125,10.97,11,504000
1970-08-03,11,11,10.75,10.905,412800
1970-08-04,10.8125,10.8125,10.5625,10.8125,304000
1970-08-05,10.8125,10.875,10.655,10.78,296000
1970-08-06,10.78,10.845,10.655,10.78,312000
1970-08-07,10.78,11.1875,10.75,11.125,537600
1970-08-10,11.125,11.1875,10.78,10.9375,630400
1970-08-11,10.9375,10.9375,10.8125,10.845,187200
1970-08-12,10.845,10.875,10.75,10.875,248000
1970-08-13,10.875,10.875,10.72,10.845,256000
1970-08-14,10.845,10.905,10.655,10.655,316800
1970-08-17,10.655,10.6875,10.53,10.625,462400
1970-08-18,10.625,10.875,10.625,10.875,716800
1970-08-19,10.9375,11.28,10.9375,11.125,1286400
1970-08-20,11.155,11.53,11.155,11.53,1256000
1970-08-21,11.53,11.655,11.53,11.625,992000
1970-08-24,11.655,12,11.655,11.845,1440000
1970-08-25,11.845,11.905,11.655,11.875,484800
1970-08-26,11.845,11.845,11.655,11.655,585600
