"MacroTrends Data Download"
"JNJ - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1970-01-02,1.25,1.2535,1.2188,1.2188,1195200
1970-01-05,1.2188,1.2222,1.1875,1.1892,964800
1970-01-06,1.1892,1.2118,1.184,1.2118,1036800
1970-01-07,1.2118,1.2153,1.2031,1.2066,331200
1970-01-08,1.2066,1.2257,1.2066,1.2153,460800
1970-01-09,1.2222,1.2396,1.2222,1.2222,748800
1970-01-12,1.2222,1.2222,1.2014,1.2014,864000
1970-01-13,1.2049,1.2222,1.2049,1.2118,849600
1970-01-14,1.2118,1.2326,1.2118,1.2292,619200
1970-01-15,1.2292,1.2326,1.2274,1.2309,1209600
1970-01-16,1.2309,1.2309,1.2257,1.2292,734400
1970-01-19,1.2274,1.2274,1.2118,1.2135,1180800
1970-01-20,1.2135,1.2135,1.1927,1.2135,763200
1970-01-21,1.2135,1.2188,1.2101,1.2188,878400
1970-01-22,1.2188,1.2222,1.2118,1.2222,360000
1970-01-23,1.2222,1.2257,1.2135,1.2153,979200
1970-01-26,1.2153,1.2153,1.2083,1.2153,979200
1970-01-27,1.2101,1.2101,1.2014,1.2014,532800
1970-01-28,1.191,1.191,1.1354,1.1354,1497600
1970-01-29,1.1319,1.1319,1.0729,1.1111,3585600
1970-01-30,1.0972,1.0972,1.0764,1.0972,2808000
1970-02-02,1.1094,1.1528,1.1094,1.1528,1612800
1970-02-03,1.1528,1.2014,1.1458,1.1458,2692800
1970-02-04,1.1337,1.1337,1.0816,1.0955,2793600
1970-02-05,1.0955,1.1458,1.092,1.1458,1886400
1970-02-06,1.1389,1.1389,1.125,1.1319,705600
1970-02-09,1.1597,1.191,1.1597,1.1823,1684800
1970-02-10,1.2014,1.2153,1.2014,1.2049,2505600
1970-02-11,1.2014,1.2014,1.1892,1.1944,2232000
1970-02-12,1.1944,1.1944,1.1433,1.151,3369600
1970-02-13,1.1467,1.1467,1.1111,1.125,1540800
1970-02-16,1.125,1.1302,1.1224,1.1224,820800
1970-02-17,1.1224,1.1233,1.0903,1.1007,1915200
1970-02-18,1.1042,1.1128,1.1042,1.1094,878400
1970-02-19,1.1094,1.1094,1.099,1.1015,576000
1970-02-20,1.099,1.099,1.0764,1.0808,1396800
1970-02-24,1.0808,1.0851,1.0503,1.0573,3744000
1970-02-25,1.0573,1.0972,1.0521,1.0972,2822400
1970-02-26,1.0868,1.0868,1.0642,1.0764,1353600
1970-02-27,1.0833,1.1111,1.0833,1.1067,1627200
1970-03-02,1.1067,1.1233,1.0972,1.0972,1051200
1970-03-03,1.0972,1.099,1.0799,1.099,1468800
1970-03-04,1.099,1.1181,1.099,1.1094,734400
1970-03-05,1.1094,1.1128,1.1042,1.1076,892800
1970-03-06,1.1076,1.1076,1.0885,1.092,907200
1970-03-09,1.0885,1.0885,1.0799,1.0851,273600
1970-03-10,1.0799,1.0799,1.0668,1.0764,1353600
1970-03-11,1.0764,1.0903,1.0729,1.0851,432000
1970-03-12,1.086,1.0938,1.086,1.0885,388800
1970-03-13,1.0833,1.0833,1.0764,1.0764,1339200
1970-03-16,1.0764,1.0764,1.0573,1.059,806400
1970-03-17,1.059,1.0625,1.0538,1.0538,1267200
1970-03-18,1.0556,1.0642,1.0556,1.0642,748800
1970-03-19,1.0677,1.0729,1.0677,1.0677,1123200
1970-03-20,1.0677,1.0677,1.0608,1.0677,518400
1970-03-23,1.066,1.066,1.0556,1.059,216000
1970-03-24,1.0582,1.0582,1.0417,1.0529,1670400
1970-03-25,1.0625,1.1007,1.0625,1.0868,2275200
1970-03-26,1.0868,1.0938,1.0833,1.0868,936000
1970-03-30,1.0868,1.092,1.0799,1.0816,1368000
1970-03-31,1.0764,1.0764,1.066,1.0729,676800
1970-04-01,1.0694,1.0694,1.0625,1.0651,820800
1970-04-02,1.059,1.059,1.0451,1.0477,792000
1970-04-03,1.0477,1.0538,1.0477,1.0521,1008000
1970-04-06,1.0521,1.0573,1.0226,1.0243,2275200
1970-04-07,1.0226,1.0226,0.9931,0.9948,1526400
1970-04-08,0.9948,0.9965,0.9878,0.9931,734400
1970-04-09,0.9931,1.0174,0.9931,1.0156,820800
1970-04-10,1.0156,1.0313,1.0113,1.0139,3312000
1970-04-13,1.0139,1.0139,1,1.0069,878400
1970-04-14,1.0069,1.0243,0.9931,1.0226,835200
1970-04-15,1.0226,1.0399,1.0208,1.0278,2217600
1970-04-16,1.0278,1.0278,1.0156,1.0165,1252800
1970-04-17,1.0165,1.0174,1.0139,1.0156,950400
1970-04-20,1.0156,1.0174,1.0087,1.0139,1425600
1970-04-21,1.0139,1.0208,1.0069,1.0078,518400
1970-04-22,1.0069,1.0069,1,1.0009,561600
1970-04-23,1.0009,1.0017,0.9688,0.9713,763200
1970-04-24,0.9713,0.9722,0.9662,0.967,792000
