"PFE"
"Pfizer Inc."


date,open,high,low,close,volume
1972-06-01,0.8588,0.8594,0.8463,0.8594,2332800
1972-06-02,0.8594,0.8621,0.8463,0.849,1531200
1972-06-05,0.849,0.8515,0.8413,0.8463,2452800
1972-06-06,0.8463,0.8698,0.8438,0.8646,2227200
1972-06-07,0.8646,0.8646,0.8515,0.8646,979200
1972-06-08,0.8646,0.8673,0.8594,0.8594,1012800
1972-06-09,0.8594,0.8673,0.8594,0.8646,1483200
1972-06-12,0.8646,0.8802,0.8646,0.8673,1843200
1972-06-13,0.8673,0.8802,0.8621,0.875,2064000
1972-06-14,0.875,0.8802,0.8698,0.875,1963200
1972-06-15,0.875,0.8827,0.8646,0.8646,2587200
1972-06-16,0.8646,0.8802,0.8542,0.8802,2275200
1972-06-19,0.8802,0.8906,0.8775,0.8906,1608000
1972-06-20,0.8906,0.8958,0.8854,0.8958,2212800
1972-06-21,0.8958,0.901,0.8854,0.8854,1934400
1972-06-22,0.8854,0.8933,0.8775,0.8879,2313600
1972-06-23,0.8879,0.8906,0.8646,0.8854,1406400
1972-06-26,0.8854,0.8854,0.8646,0.875,1536000
1972-06-27,0.875,0.8827,0.8646,0.875,1944000
1972-06-28,0.8725,0.8725,0.8621,0.8673,1248000
1972-06-29,0.8673,0.8802,0.8621,0.8802,1060800
1972-06-30,0.8802,0.8958,0.8775,0.8827,2774400
1972-07-03,0.8827,0.8906,0.875,0.8854,782400
1972-07-05,0.8906,0.9115,0.8906,0.901,2755200
1972-07-06,0.9088,0.9219,0.9088,0.9192,3696000
1972-07-07,0.9192,0.9323,0.914,0.9323,2011200
1972-07-10,0.9323,0.9452,0.9298,0.935,2932800
1972-07-11,0.935,0.9452,0.935,0.935,2073600
1972-07-12,0.935,0.9452,0.9323,0.9375,2558400
1972-07-13,0.9323,0.9323,0.9063,0.9115,1056000
1972-07-14,0.9115,0.9375,0.9088,0.9323,1502400
1972-07-17,0.9323,0.9375,0.9088,0.9246,777600
1972-07-18,0.9219,0.9219,0.8879,0.914,1449600
1972-07-19,0.914,0.9271,0.9063,0.9192,2035200
1972-07-20,0.9192,0.9246,0.9038,0.9063,1416000
1972-07-21,0.9063,0.9115,0.8958,0.9115,907200
1972-07-24,0.9115,0.9115,0.8802,0.8906,9235200
1972-07-25,0.8933,0.914,0.8933,0.9063,2558400
1972-07-26,0.9063,0.9115,0.901,0.901,1286400
1972-07-27,0.901,0.9038,0.8958,0.8958,1075200
1972-07-28,0.8985,0.9038,0.8985,0.9038,1070400
1972-07-31,0.9038,0.9038,0.8958,0.8958,1939200
1972-08-01,0.8958,0.9167,0.8958,0.914,1713600
1972-08-02,0.9167,0.9298,0.9167,0.9271,2865600
1972-08-03,0.9271,0.9298,0.9088,0.914,1238400
1972-08-04,0.914,0.9246,0.9063,0.9192,2035200
1972-08-07,0.9192,0.9219,0.9088,0.9219,1862400
1972-08-08,0.9219,0.9271,0.9167,0.9219,2280000
1972-08-09,0.9219,0.9246,0.9167,0.9246,2352000
1972-08-10,0.9246,0.935,0.9192,0.935,1104000
1972-08-11,0.935,0.9531,0.9298,0.9531,3000000
1972-08-14,0.9531,0.9583,0.9452,0.9531,3144000
1972-08-15,0.9531,0.9531,0.9427,0.9479,1190400
1972-08-16,0.9479,0.9531,0.935,0.9427,1454400
1972-08-17,0.9427,0.9558,0.94,0.9452,2587200
1972-08-18,0.9427,0.9427,0.9271,0.9271,2894400
1972-08-21,0.9271,0.9323,0.914,0.9271,1228800
1972-08-22,0.9271,0.9375,0.9167,0.9219,1358400
1972-08-23,0.9219,0.9323,0.9088,0.9167,1569600
1972-08-24,0.9167,0.9192,0.8958,0.9115,2044800
1972-08-25,0.9115,0.9167,0.8958,0.901,2678400
1972-08-28,0.901,0.9088,0.8933,0.8985,1363200
1972-08-29,0.8985,0.9088,0.8933,0.9038,2030400
1972-08-30,0.9038,0.9038,0.8933,0.8985,2116800
1972-08-31,0.8985,0.901,0.8854,0.8906,2078400
1972-09-01,0.8906,0.8933,0.8802,0.8933,4627200
1972-09-05,0.8933,0.8958,0.8879,0.8958,940800
1972-09-06,0.8933,0.8933,0.8673,0.8725,1819200
1972-09-07,0.8725,0.875,0.8438,0.8463,2918400
1972-09-08,0.8463,0.8673,0.8463,0.8594,1689600
1972-09-11,0.8594,0.8621,0.849,0.8542,1320000
1972-09-12,0.8542,0.8621,0.8413,0.8413,1416000
1972-09-13,0.8413,0.8542,0.836,0.8515,4056000
1972-09-14,0.8515,0.8621,0.8385,0.8438,1963200
1972-09-15,0.8463,0.8594,0.8463,0.8567,1099200
1972-09-18,0.8567,0.8698,0.849,0.8594,691200
1972-09-19,0.8594,0.8775,0.8542,0.8698,806400
1972-09-20,0.8698,0.8802,0.8594,0.8673,1099200
1972-09-21,0.8673,0.8775,0.8646,0.8698,1272000
1972-09-22,0.8698,0.875,0.8594,0.8621,1224000
1972-09-25,0.8621,0.8621,0.8438,0.8542,6451200
1972-09-26,0.8542,0.8698,0.849,0.8698,1915200
1972-09-27,0.875,0.8906,0.875,0.8906,1934400
1972-09-28,0.8906,0.8958,0.8775,0.8958,5457600
1972-09-29,0.8958,0.8958,0.8854,0.8933,2160000
1972-10-02,0.8879,0.8879,0.8802,0.8802,2457600
1972-10-03,0.8775,0.8775,0.8621,0.8621,744000
1972-10-04,0.8621,0.8775,0.8567,0.8621,1824000
1972-10-05,0.849,0.849,0.8254,0.8308,7838400
1972-10-06,0.8308,0.849,0.8281,0.8463,2280000
1972-10-09,0.8463,0.849,0.8413,0.8413,936000
1972-10-10,0.8413,0.8594,0.8385,0.849,1339200
1972-10-11,0.849,0.8567,0.836,0.8463,1944000
1972-10-12,0.8463,0.8463,0.8333,0.8385,3067200
1972-10-13,0.8385,0.8385,0.8254,0.8281,2865600
1972-10-16,0.8281,0.836,0.8202,0.8229,1732800
1972-10-17,0.8229,0.8308,0.8229,0.8308,2692800
1972-10-18,0.8308,0.8438,0.8125,0.8202,3868800
1972-10-19,0.8202,0.8281,0.815,0.8281,1507200
1972-10-20,0.8281,0.8515,0.8202,0.849,1176000
1972-10-23,0.8542,0.8698,0.8542,0.8673,1204800
1972-10-24,0.8673,0.8725,0.8621,0.8698,3345600
1972-10-25,0.8646,0.8646,0.849,0.8567,1094400
1972-10-26,0.8567,0.8673,0.849,0.8542,1363200
1972-10-27,0.8542,0.8594,0.8438,0.8567,1257600
1972-10-30,0.8567,0.8567,0.8438,0.8438,835200
1972-10-31,0.849,0.8621,0.849,0.8542,3417600
1972-11-01,0.8542,0.8698,0.8515,0.8646,3024000
1972-11-02,0.8646,0.8958,0.8646,0.8958,3700800
1972-11-03,0.8958,0.9375,0.8933,0.9375,2457600
