"PG"
"Procter & Gamble Co."


date,open,high,low,close,volume
1970-01-02,1.7109,1.7227,1.7089,1.7188,1664000
1970-01-05,1.7188,1.7305,1.7089,1.7266,1036800
1970-01-06,1.7227,1.7227,1.707,1.7188,960000
1970-01-07,1.7227,1.75,1.7227,1.7461,1420800
1970-01-08,1.7461,1.7734,1.7422,1.7656,1062400
1970-01-09,1.7656,1.7656,1.7539,1.7617,524800
1970-01-12,1.7617,1.7617,1.75,1.75,742400
1970-01-13,1.75,1.7539,1.7422,1.7422,819200
1970-01-14,1.75,1.793,1.75,1.75,1190400
1970-01-15,1.75,1.7578,1.7461,1.75,780800
1970-01-16,1.7617,1.7969,1.7617,1.7695,819200
1970-01-19,1.7656,1.7656,1.75,1.7539,1024000
1970-01-20,1.7578,1.7677,1.7578,1.7598,537600
1970-01-21,1.7598,1.7734,1.75,1.7714,1356800
1970-01-22,1.7714,1.8164,1.7519,1.8125,1804800
1970-01-23,1.8047,1.8047,1.7578,1.7578,5785600
1970-01-26,1.7578,1.7617,1.7344,1.7344,1062400
1970-01-27,1.7383,1.75,1.7383,1.7383,294400
1970-01-28,1.7383,1.7481,1.7266,1.7266,1651200
1970-01-29,1.7266,1.7266,1.7148,1.7227,832000
1970-01-30,1.7286,1.7481,1.7286,1.7344,870400
1970-02-02,1.7344,1.7383,1.7188,1.7188,4902400
1970-02-03,1.7227,1.7636,1.7227,1.75,2470400
1970-02-04,1.75,1.7656,1.75,1.7539,768000
1970-02-05,1.7539,1.7636,1.7461,1.7578,908800
1970-02-06,1.7578,1.7891,1.7539,1.7813,1062400
1970-02-09,1.7813,1.8047,1.7714,1.7969,1280000
1970-02-10,1.7969,1.7969,1.7891,1.793,576000
1970-02-11,1.793,1.7969,1.7813,1.7969,1318400
1970-02-12,1.8008,1.8164,1.8008,1.8125,1587200
1970-02-13,1.8086,1.8086,1.7813,1.7891,3097600
1970-02-16,1.7891,1.8242,1.7891,1.7911,870400
1970-02-17,1.7891,1.7891,1.7109,1.7266,3084800
1970-02-18,1.7247,1.7247,1.6816,1.6875,2598400
1970-02-19,1.6875,1.6953,1.6719,1.6953,4121600
1970-02-20,1.6953,1.7052,1.6914,1.6914,1689600
1970-02-24,1.6914,1.6992,1.6797,1.6992,1971200
1970-02-25,1.6992,1.707,1.6758,1.6875,5785600
