"MacroTrends Data Download"
"T - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1984-07-19,4.9792,4.9892,4.9483,4.9483,934800
1984-07-20,4.9683,5,4.9375,4.9583,1557600
1984-07-23,4.9375,4.9792,4.8958,4.9583,3313200
1984-07-24,4.9792,5.0317,4.9683,5,1549200
1984-07-25,5,5.1142,4.9892,5.0625,1828800
1984-07-26,5.0625,5.1667,5.0317,5.0417,4942800
1984-07-27,5.0317,5.0317,4.9892,4.9892,1039200
1984-07-30,4.9792,5.0208,4.9583,4.9892,1165200
1984-07-31,4.9892,5.0625,4.9792,5.0625,1059600
1984-08-01,5.0417,5.1875,5.0317,5.1875,2842800
1984-08-02,5.1667,5.4067,5.0417,5.3542,3843600
1984-08-03,5.3333,5.3958,5.2708,5.3125,3099600
1984-08-06,5.2917,5.2917,5.1667,5.1667,2974800
1984-08-07,5.1567,5.2292,5.1458,5.1667,3500400
1984-08-08,5.1767,5.1983,5.1458,5.1458,2011200
1984-08-09,5.1567,5.2292,5.1458,5.1983,1474800
1984-08-10,5.2083,5.2708,5.2083,5.2292,2324400
1984-08-13,5.2292,5.2392,5.1875,5.2292,1255200
1984-08-14,5.2083,5.25,5.2083,5.2183,1123200
1984-08-15,5.1983,5.2608,5.1875,5.2083,1593600
1984-08-16,5.1875,5.25,5.1767,5.2292,748800
1984-08-17,5.2392,5.2708,5.1875,5.2292,841200
1984-08-20,5.2292,5.3017,5.2292,5.3017,1508400
1984-08-21,5.2817,5.3958,5.2708,5.3642,2520000
1984-08-22,5.3433,5.375,5.3333,5.3542,916800
1984-08-23,5.3333,5.3433,5.3125,5.3233,1303200
1984-08-24,5.3233,5.3233,5.2917,5.3017,3434400
1984-08-27,5.2817,5.3125,5.2608,5.2817,800400
1984-08-28,5.2817,5.3125,5.2817,5.2917,672000
1984-08-29,5.2917,5.3233,5.2917,5.2917,1238400
1984-08-30,5.2708,5.2917,5.2608,5.2817,860400
1984-08-31,5.2708,5.2917,5.2708,5.2917,1142400
1984-09-04,5.2817,5.2917,5.2608,5.2708,488400
1984-09-05,5.25,5.2608,5.2292,5.2292,1646400
1984-09-06,5.2608,5.3125,5.25,5.2917,9136800
1984-09-07,5.3017,5.3125,5.2708,5.2708,850800
1984-09-10,5.25,5.3017,5.2392,5.2917,5924400
1984-09-11,5.2608,5.2817,5.2608,5.2608,4959600
1984-09-12,5.2608,5.2917,5.2608,5.2817,520800
1984-09-13,5.3017,5.3542,5.2708,5.3333,8888400
1984-09-14,5.375,5.3858,5.3433,5.3642,1719600
1984-09-17,5.3433,5.3858,5.3233,5.3542,8122800
1984-09-18,5.3642,5.375,5.3433,5.3433,1195200
1984-09-19,5.3433,5.4483,5.3333,5.4067,10376400
1984-09-20,5.4067,5.4892,5.3958,5.4483,4149600
1984-09-21,5.4483,5.5,5.4483,5.4683,17424000
1984-09-24,5.3642,5.3958,5.3542,5.3542,4518000
1984-09-25,5.3433,5.3858,5.3125,5.3642,1038000
1984-09-26,5.3542,5.3958,5.3433,5.3642,882000
1984-09-27,5.375,5.3958,5.3542,5.3642,2452800
1984-09-28,5.375,5.3958,5.3642,5.3858,1099200
1984-10-01,5.3858,5.4067,5.375,5.3858,2667600
1984-10-02,5.375,5.3958,5.3642,5.3858,2679600
1984-10-03,5.3858,5.3858,5.3642,5.3642,1186800
1984-10-04,5.375,5.375,5.3542,5.3642,645600
1984-10-05,5.3642,5.375,5.3233,5.3333,1424400
1984-10-08,5.3433,5.3433,5.2817,5.2917,387600
1984-10-09,5.3017,5.3233,5.2708,5.2817,697200
1984-10-10,5.2917,5.3017,5.2708,5.2917,1156800
1984-10-11,5.3017,5.3333,5.2917,5.3125,945600
1984-10-12,5.3333,5.3858,5.3333,5.375,1153200
1984-10-15,5.375,5.4683,5.3642,5.4583,2437200
1984-10-16,5.4583,5.5,5.4583,5.5,1532400
1984-10-17,5.5,5.5833,5.4892,5.5625,1105200
1984-10-18,5.5933,5.6667,5.5833,5.6567,2139600
1984-10-19,5.7083,5.7708,5.6875,5.7292,2269200
1984-10-22,5.7183,5.7292,5.6458,5.6567,918000
1984-10-23,5.625,5.625,5.4167,5.4683,4645200
1984-10-24,5.4792,5.4892,5.4167,5.4167,2960400
1984-10-25,5.4375,5.5108,5.4167,5.5,3832800
1984-10-26,5.4683,5.4792,5.4483,5.4583,1412400
1984-10-29,5.4375,5.4683,5.4167,5.4683,1432800
1984-10-30,5.4375,5.4792,5.4267,5.4583,1582800
1984-10-31,5.4375,5.4792,5.4267,5.4583,1681200
1984-11-01,5.4375,5.4792,5.4375,5.4583,2248800
1984-11-02,5.4483,5.5,5.4483,5.4792,1880400
1984-11-05,5.4583,5.5,5.4583,5.4683,1656000
1984-11-06,5.4683,5.5417,5.4683,5.5317,2364000
1984-11-07,5.5417,5.5517,5.4892,5.5,2061600
1984-11-08,5.4792,5.4892,5.4375,5.4583,1171200
1984-11-09,5.4683,5.5,5.4375,5.4375,1527600
1984-11-12,5.4375,5.4375,5.4167,5.4167,607200
1984-11-13,5.3958,5.4067,5.3542,5.3642,708000
1984-11-14,5.3642,5.375,5.3233,5.3642,2053200
1984-11-15,5.3858,5.4483,5.3858,5.4267,2473200
1984-11-16,5.4375,5.4583,5.4267,5.4375,2316000
1984-11-19,5.4375,5.4483,5.4067,5.4067,1629600
1984-11-20,5.4267,5.4583,5.4167,5.4583,1586400
1984-11-21,5.4583,5.5108,5.4483,5.4892,1113600
1984-11-23,5.5108,5.6667,5.5108,5.6458,1538400
1984-11-26,5.6667,5.6875,5.6358,5.6458,2275200
1984-11-27,5.6567,5.7083,5.6458,5.6767,2329200
1984-11-28,5.6767,5.7817,5.6567,5.6567,3546000
1984-11-29,5.6458,5.6667,5.6042,5.6142,2065200
1984-11-30,5.6042,5.6042,5.5517,5.5517,1332000
1984-12-03,5.5625,5.5833,5.5517,5.5733,1128000
1984-12-04,5.5517,5.5733,5.5417,5.5417,1030800
1984-12-05,5.5517,5.5625,5.5417,5.5417,1162800
1984-12-06,5.5417,5.5833,5.5417,5.5417,874800
1984-12-07,5.5317,5.5625,5.5208,5.5317,556800
1984-12-10,5.5317,5.5517,5.5,5.5517,1146000
1984-12-11,5.5625,5.5833,5.5517,5.5733,698400
1984-12-12,5.5733,5.5833,5.5417,5.5517,1358400
1984-12-13,5.5317,5.5833,5.5317,5.5517,1278000
1984-12-14,5.5517,5.6667,5.5517,5.6458,1268400
1984-12-17,5.6458,5.7392,5.6458,5.7392,2233200
1984-12-18,5.8333,5.9167,5.8125,5.9067,3314400
1984-12-19,5.8958,5.9583,5.8958,5.8958,1642800
1984-12-20,5.8958,5.9375,5.8125,5.8233,1797600
1984-12-21,5.8233,5.875,5.8233,5.8333,2408400
1984-12-24,5.8542,5.8858,5.8542,5.8642,973200
1984-12-26,5.8642,5.875,5.8542,5.875,362400
1984-12-27,5.8542,5.8642,5.8233,5.8542,607200
1984-12-28,5.8542,5.8642,5.8333,5.8433,788400
1984-12-31,5.8333,5.9167,5.8333,5.8958,5823600
1985-01-02,5.8958,5.8958,5.875,5.8958,1622400
1985-01-03,5.875,5.9067,5.8642,5.875,7844400
1985-01-04,5.75,5.8233,5.7392,5.7708,9086400
1985-01-07,5.7917,5.7917,5.7292,5.7292,7120800
1985-01-08,5.7292,5.7608,5.7183,5.7183,5701200
1985-01-09,5.7183,5.7392,5.6983,5.7183,12552000
1985-01-10,5.7083,5.8333,5.6983,5.7392,4622400
1985-01-11,5.7083,5.7392,5.6983,5.7292,1929600
1985-01-14,5.7183,5.7817,5.7183,5.7608,1942800
1985-01-15,5.75,5.7817,5.7392,5.7708,2568000
1985-01-16,5.7708,5.7708,5.7392,5.75,1566000
1985-01-17,5.75,5.7608,5.7292,5.7292,1119600
1985-01-18,5.7292,5.7392,5.7083,5.7292,1104000
1985-01-21,5.7392,5.7608,5.7292,5.75,952800
1985-01-22,5.75,5.7608,5.7083,5.7292,2922000
1985-01-23,5.7083,5.75,5.7083,5.7392,1471200
1985-01-24,5.75,5.7817,5.7292,5.7392,3198000
1985-01-25,5.75,5.8433,5.7392,5.8233,4237200
1985-01-28,5.8125,5.9375,5.8017,5.8858,2959200
1985-01-29,5.8858,5.9792,5.875,5.9683,1737600
1985-01-30,5.9792,6.1142,5.9683,6.0417,2878800
1985-01-31,6.0208,6.0933,6.0108,6.0625,1771200
1985-02-01,6.0317,6.0625,5.9792,6,949200
1985-02-04,5.9792,6.0317,5.9792,6.0208,1903200
1985-02-05,6.0208,6.0317,5.9792,6.0208,1940400
1985-02-06,6,6.0733,5.9892,6.0317,2408400
1985-02-07,6.0517,6.1042,6.0517,6.0733,2059200
1985-02-08,6.0625,6.0933,6.0517,6.0733,2347200
1985-02-11,6.0733,6.0933,6.0625,6.0833,710400
1985-02-12,6.0933,6.1767,6.0933,6.1767,849600
1985-02-13,6.1767,6.2917,6.1667,6.2708,1926000
1985-02-14,6.2817,6.2917,6.2083,6.2183,1443600
1985-02-15,6.2083,6.25,6.2083,6.2183,1422000
1985-02-19,6.2392,6.25,6.2292,6.2292,841200
1985-02-20,6.2292,6.25,6.1983,6.2183,879600
1985-02-21,6.2183,6.2292,6.1875,6.1875,499200
1985-02-22,6.1875,6.1983,6.0625,6.0733,1027200
1985-02-25,6.0733,6.0833,6.0317,6.0625,1665600
