"MacroTrends Data Download"
"UNH - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1990-03-26,0.2969,0.2969,0.2931,0.2931,412800
1990-03-27,0.2931,0.3084,0.2931,0.3084,3913600
1990-03-28,0.3084,0.3084,0.3006,0.3006,1561600
1990-03-29,0.3084,0.3084,0.3047,0.3047,537600
1990-03-30,0.3084,0.3084,0.3006,0.3047,1756800
1990-04-02,0.3006,0.3084,0.2931,0.3084,2451200
1990-04-03,0.3125,0.3203,0.3047,0.3125,2812800
1990-04-04,0.3166,0.3203,0.3084,0.3125,4003200
1990-04-05,0.3166,0.3244,0.3166,0.3203,3961600
1990-04-06,0.3244,0.3281,0.3203,0.3244,1273600
1990-04-09,0.3244,0.3281,0.3166,0.3166,2873600
1990-04-10,0.3166,0.3203,0.3084,0.3084,2118400
1990-04-11,0.3166,0.3203,0.3125,0.3166,3440000
1990-04-12,0.3203,0.3281,0.3166,0.3281,3254400
1990-04-16,0.3281,0.3319,0.3203,0.3244,4595200
1990-04-17,0.3244,0.3319,0.3244,0.3244,7257600
1990-04-18,0.3244,0.3281,0.3203,0.3203,2291200
1990-04-19,0.3203,0.3203,0.3166,0.3203,896000
1990-04-20,0.3166,0.3203,0.3125,0.3166,1168000
1990-04-23,0.3084,0.3125,0.3047,0.3125,998400
1990-04-24,0.3125,0.3166,0.3084,0.3084,700800
1990-04-25,0.3125,0.3166,0.3125,0.3166,758400
1990-04-26,0.3166,0.3244,0.3166,0.3203,1228800
1990-04-27,0.3166,0.3203,0.3125,0.3125,1888000
1990-04-30,0.3244,0.3438,0.3203,0.3359,12281600
1990-05-01,0.3397,0.3556,0.3397,0.3516,11120000
1990-05-02,0.3516,0.3672,0.3478,0.3672,3782400
1990-05-03,0.3709,0.3709,0.3594,0.3594,5475200
1990-05-04,0.3672,0.3828,0.3672,0.375,11257600
1990-05-07,0.3869,0.4022,0.3828,0.3984,37350400
1990-05-08,0.4022,0.4141,0.3944,0.4103,15411200
1990-05-09,0.4063,0.4141,0.3944,0.4022,12224000
1990-05-10,0.4022,0.4063,0.3984,0.3984,11753600
1990-05-11,0.4022,0.4103,0.4022,0.4022,10361600
1990-05-14,0.4022,0.4103,0.4022,0.4103,5904000
1990-05-15,0.4103,0.4103,0.4022,0.4103,7558400
1990-05-16,0.4103,0.4297,0.4063,0.4181,9673600
1990-05-17,0.4256,0.4256,0.4181,0.4219,12099200
1990-05-18,0.4181,0.4256,0.4181,0.4181,11516800
1990-05-21,0.4181,0.4297,0.4181,0.4297,8473600
1990-05-22,0.4375,0.4494,0.4334,0.4494,29398400
1990-05-23,0.4494,0.4569,0.4416,0.4569,21696000
1990-05-24,0.4531,0.4688,0.4531,0.4647,11273600
1990-05-25,0.4609,0.4647,0.4569,0.4569,13379200
1990-05-29,0.4531,0.4647,0.4494,0.4647,8790400
1990-05-30,0.4609,0.4728,0.4609,0.4688,11872000
1990-05-31,0.4647,0.4844,0.4647,0.4728,10528000
1990-06-01,0.4766,0.4806,0.4688,0.4688,14604800
1990-06-04,0.4766,0.4806,0.4688,0.4766,8803200
1990-06-05,0.4844,0.4959,0.4766,0.4959,17158400
1990-06-06,0.4959,0.4959,0.4806,0.4806,12720000
1990-06-07,0.4806,0.4881,0.4609,0.4647,9024000
1990-06-08,0.4609,0.4647,0.4416,0.4416,11971200
1990-06-11,0.4416,0.4494,0.4375,0.4416,4179200
1990-06-12,0.4494,0.4609,0.4375,0.4609,4617600
1990-06-13,0.4609,0.4922,0.4609,0.4844,11865600
1990-06-14,0.4881,0.4881,0.4728,0.4806,3059200
1990-06-15,0.4728,0.4806,0.4688,0.4766,3216000
1990-06-18,0.4688,0.4766,0.4647,0.4647,3872000
1990-06-19,0.4688,0.4844,0.4609,0.4844,4499200
1990-06-20,0.4844,0.5,0.4844,0.4922,12121600
1990-06-21,0.4959,0.4959,0.4766,0.4959,12384000
1990-06-22,0.5,0.5272,0.4959,0.5119,22441600
1990-06-25,0.5156,0.5391,0.5078,0.5313,18537600
1990-06-26,0.5353,0.5353,0.5119,0.5194,11984000
1990-06-27,0.5156,0.5194,0.4922,0.5078,4652800
1990-06-28,0.5041,0.5234,0.5041,0.5234,6742400
1990-06-29,0.5313,0.5391,0.5272,0.5391,2352000
1990-07-02,0.5313,0.5431,0.5234,0.5353,3568000
1990-07-03,0.5391,0.5469,0.5313,0.5469,3494400
1990-07-05,0.5469,0.5547,0.5353,0.5469,3728000
