"WFC"
"Wells Fargo & Co."


date,open,high,low,close,volume
1972-06-01,0.8815,0.8827,0.8802,0.8802,249600
1972-06-02,0.8827,0.8906,0.8827,0.8827,172800
1972-06-05,0.8827,0.8958,0.8802,0.8958,302400
1972-06-06,0.8958,0.9115,0.8933,0.8958,196800
1972-06-07,0.8958,0.8958,0.8879,0.8879,48000
1972-06-08,0.8879,0.8958,0.8854,0.8906,144000
1972-06-09,0.8906,0.8958,0.8854,0.8906,43200
1972-06-12,0.8958,0.901,0.8958,0.901,24000
1972-06-13,0.8985,0.8985,0.8854,0.8854,76800
1972-06-14,0.8854,0.8906,0.8854,0.8854,244800
1972-06-15,0.8906,0.8933,0.8906,0.8933,206400
1972-06-16,0.8933,0.901,0.8933,0.901,48000
1972-06-19,0.8958,0.8958,0.8933,0.8933,91200
1972-06-20,0.8933,0.8958,0.8933,0.8958,14400
1972-06-21,0.8958,0.8958,0.8933,0.8933,48000
1972-06-22,0.8933,0.901,0.8906,0.901,86400
1972-06-23,0.9063,0.914,0.9063,0.914,96000
1972-06-26,0.914,0.9167,0.9063,0.9167,62400
1972-06-27,0.9219,0.9271,0.9219,0.9219,67200
1972-06-28,0.9298,0.9479,0.9298,0.9479,144000
1972-06-29,0.9452,0.9452,0.9452,0.9452,28800
1972-06-30,0.9479,0.9583,0.9479,0.9583,72000
1972-07-03,0.9583,0.974,0.9583,0.974,57600
1972-07-05,0.974,0.974,0.9635,0.9635,211200
1972-07-06,0.9688,1.0104,0.9688,1.0104,254400
1972-07-07,1.0104,1.026,1.0104,1.0156,412800
1972-07-10,1.0156,1.0208,1.0104,1.0208,0
1972-07-11,1.0208,1.0235,1.0156,1.0208,2904000
1972-07-12,1.0208,1.026,1.0208,1.0208,259200
1972-07-13,1.0208,1.0313,1.0208,1.0313,225600
1972-07-14,1.0313,1.0313,1.0235,1.0313,172800
1972-07-17,1.0313,1.0338,1.026,1.0338,62400
1972-07-18,1.0338,1.0417,1.0288,1.0365,220800
1972-07-19,1.0365,1.0417,1.0313,1.0417,24000
1972-07-20,1.0417,1.0417,1.0338,1.039,76800
1972-07-21,1.039,1.0469,1.039,1.0469,5712
1972-07-24,1.0469,1.0469,1.0417,1.0442,225600
1972-07-25,1.0442,1.0573,1.0442,1.0548,278400
1972-07-26,1.0573,1.06,1.0573,1.06,86400
1972-07-27,1.06,1.06,1.0417,1.0417,518400
1972-07-28,1.0469,1.0521,1.0469,1.0496,67200
1972-07-31,1.0496,1.0496,1.0442,1.0496,86400
1972-08-01,1.0496,1.0677,1.0442,1.0625,264000
1972-08-02,1.0625,1.0781,1.0573,1.0729,211200
1972-08-03,1.0729,1.0781,1.0625,1.0781,264000
1972-08-04,1.0833,1.0938,1.0833,1.0885,681600
1972-08-07,1.099,1.1042,1.099,1.1015,206400
1972-08-08,1.1015,1.1015,1.099,1.099,547200
1972-08-09,1.099,1.1042,1.0938,1.0938,244800
1972-08-10,1.099,1.1042,1.099,1.1042,153600
1972-08-11,1.1042,1.1042,1.1015,1.1042,86400
1972-08-14,1.1042,1.1146,1.1042,1.1094,124800
1972-08-15,1.1146,1.125,1.1146,1.1173,120000
1972-08-16,1.125,1.1354,1.125,1.1302,81600
1972-08-17,1.1327,1.1354,1.1327,1.1327,67200
1972-08-18,1.1458,1.1615,1.1458,1.1538,321600
1972-08-21,1.1538,1.1588,1.1538,1.1588,19200
1972-08-22,1.1615,1.1771,1.1615,1.1771,350400
1972-08-23,1.1771,1.1823,1.1719,1.1823,177600
1972-08-24,1.1823,1.1875,1.1823,1.1875,72000
1972-08-25,1.185,1.185,1.1771,1.1798,244800
1972-08-28,1.1798,1.1823,1.1746,1.1746,81600
1972-08-29,1.1719,1.1719,1.1719,1.1719,52800
1972-08-30,1.1719,1.1746,1.1667,1.1667,91200
1972-08-31,1.1692,1.1719,1.1692,1.1692,33600
1972-09-01,1.1692,1.1746,1.1692,1.1746,48000
1972-09-05,1.1746,1.1771,1.1692,1.1692,172800
1972-09-06,1.1667,1.1667,1.1615,1.164,100800
