"MacroTrends Data Download"
"WMT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1972-08-25,0.0635,0.0647,0.0635,0.0645,2508800
1972-08-28,0.0645,0.0649,0.0642,0.0642,972800
1972-08-29,0.064,0.064,0.0635,0.0635,1945600
1972-08-30,0.0635,0.0635,0.063,0.0635,409600
1972-08-31,0.063,0.063,0.0625,0.0625,870400
1972-09-01,0.0627,0.063,0.0627,0.063,256000
1972-09-05,0.063,0.063,0.0625,0.0625,563200
1972-09-06,0.063,0.063,0.063,0.063,256000
1972-09-07,0.063,0.063,0.0627,0.0627,1177600
1972-09-08,0.0625,0.0625,0.0623,0.0623,665600
1972-09-11,0.0627,0.0627,0.0627,0.0627,921600
1972-09-12,0.0627,0.0627,0.0627,0.0627,614400
1972-09-13,0.0627,0.0627,0.0627,0.0627,153600
1972-09-14,0.0627,0.0632,0.0625,0.0632,1280000
1972-09-15,0.063,0.063,0.0627,0.0627,512000
1972-09-18,0.063,0.0632,0.063,0.063,1075200
1972-09-19,0.0627,0.0627,0.0623,0.0625,3123200
1972-09-20,0.062,0.062,0.062,0.062,51200
1972-09-21,0.0615,0.0615,0.0601,0.0601,1433600
1972-09-22,0.0598,0.0598,0.0579,0.0579,870400
1972-09-25,0.0576,0.0576,0.0562,0.0562,972800
1972-09-26,0.0562,0.0562,0.0557,0.0559,716800
1972-09-27,0.0554,0.0554,0.0547,0.0547,665600
1972-09-28,0.0557,0.0566,0.0557,0.0562,1433600
1972-09-29,0.0566,0.0569,0.0566,0.0569,256000
1972-10-02,0.0574,0.0596,0.0574,0.0596,1638400
1972-10-03,0.0601,0.0605,0.0601,0.0605,512000
1972-10-04,0.0608,0.0623,0.0608,0.0618,1536000
1972-10-05,0.0614,0.0614,0.0601,0.0601,1382400
1972-10-06,0.0598,0.0598,0.0576,0.0576,9779200
1972-10-09,0.0581,0.0586,0.0581,0.0586,1280000
1972-10-10,0.0586,0.0586,0.0586,0.0586,0
1972-10-11,0.0586,0.0588,0.0581,0.0588,460800
1972-10-12,0.0586,0.0586,0.0584,0.0584,358400
1972-10-13,0.0584,0.0584,0.0584,0.0584,51200
1972-10-16,0.0581,0.0581,0.0569,0.0569,665600
1972-10-17,0.0569,0.0581,0.0564,0.0579,2457600
1972-10-18,0.0584,0.0625,0.0584,0.062,7782400
1972-10-19,0.062,0.0625,0.062,0.0623,10598400
1972-10-20,0.0618,0.0618,0.0618,0.0618,51200
1972-10-23,0.0618,0.0618,0.0615,0.0615,460800
1972-10-24,0.0618,0.0618,0.0618,0.0618,102400
1972-10-25,0.0613,0.0613,0.0605,0.0605,1228800
1972-10-26,0.061,0.061,0.061,0.061,51200
1972-10-27,0.0613,0.0613,0.0613,0.0613,204800
1972-10-30,0.0613,0.0615,0.0608,0.061,1331200
1972-10-31,0.0613,0.063,0.0613,0.063,716800
1972-11-01,0.0637,0.0659,0.0637,0.0659,2252800
1972-11-02,0.0664,0.0671,0.0664,0.0664,716800
1972-11-03,0.0662,0.0662,0.0659,0.0662,1433600
1972-11-06,0.0662,0.0662,0.0662,0.0662,153600
1972-11-08,0.0664,0.0671,0.0664,0.0669,716800
1972-11-09,0.0669,0.0669,0.0664,0.0669,819200
1972-11-10,0.0669,0.0669,0.0669,0.0669,0
1972-11-13,0.0666,0.0666,0.0662,0.0666,409600
1972-11-14,0.0664,0.0664,0.0659,0.0659,153600
1972-11-15,0.0659,0.0662,0.0654,0.0657,563200
1972-11-16,0.0657,0.0659,0.0654,0.0659,614400
1972-11-17,0.0659,0.0664,0.0657,0.0657,1382400
1972-11-20,0.0657,0.0659,0.0654,0.0654,153600
1972-11-21,0.0654,0.0669,0.0649,0.0669,563200
1972-11-22,0.0669,0.0676,0.0669,0.0669,460800
1972-11-24,0.0669,0.0671,0.0666,0.0666,358400
1972-11-27,0.0666,0.0684,0.0664,0.0684,6246400
1972-11-28,0.0679,0.0679,0.0664,0.0664,3481600
1972-11-29,0.0659,0.0659,0.0635,0.0635,3584000
1972-11-30,0.063,0.063,0.0627,0.063,204800
1972-12-01,0.0632,0.064,0.0632,0.064,1484800
1972-12-04,0.0645,0.0664,0.0645,0.0664,972800
1972-12-05,0.0674,0.0674,0.0674,0.0674,1331200
1972-12-06,0.0674,0.0674,0.0671,0.0674,409600
1972-12-07,0.0674,0.0674,0.0669,0.0669,665600
1972-12-08,0.0669,0.0669,0.0659,0.0659,9779200
1972-12-11,0.0664,0.0666,0.0664,0.0666,358400
1972-12-12,0.0662,0.0662,0.0659,0.0659,204800
1972-12-13,0.0662,0.0664,0.0662,0.0664,102400
1972-12-14,0.0666,0.0669,0.0666,0.0666,1638400
1972-12-15,0.0669,0.0674,0.0669,0.0671,1536000
1972-12-18,0.0671,0.0671,0.0666,0.0669,1536000
1972-12-19,0.0669,0.0671,0.0666,0.0671,153600
1972-12-20,0.0671,0.0674,0.063,0.0674,204800
1972-12-21,0.0671,0.0671,0.0666,0.0669,9062400
1972-12-22,0.0669,0.0674,0.0666,0.0674,1228800
1972-12-26,0.0674,0.0681,0.0664,0.0664,614400
1972-12-27,0.0664,0.0669,0.0659,0.0669,768000
1972-12-29,0.0669,0.0674,0.0664,0.0674,307200
1973-01-02,0.0676,0.0681,0.0676,0.0676,460800
1973-01-03,0.0674,0.0674,0.0671,0.0674,768000
1973-01-04,0.0674,0.0681,0.0671,0.0671,1740800
1973-01-05,0.0671,0.0671,0.0666,0.0669,1587200
1973-01-08,0.0669,0.0669,0.0664,0.0666,665600
1973-01-09,0.0664,0.0664,0.0649,0.0654,3584000
1973-01-10,0.0654,0.0654,0.0637,0.0637,1280000
1973-01-11,0.0645,0.0654,0.0645,0.0652,1331200
1973-01-12,0.0652,0.0659,0.0649,0.0649,1945600
1973-01-15,0.0645,0.0645,0.0642,0.0642,358400
1973-01-16,0.0642,0.0654,0.064,0.0654,3481600
1973-01-17,0.0654,0.0662,0.0652,0.0657,665600
1973-01-18,0.0657,0.0657,0.0657,0.0657,0
1973-01-19,0.0652,0.0652,0.0645,0.0645,614400
1973-01-22,0.0642,0.0642,0.0637,0.0637,307200
1973-01-23,0.0637,0.064,0.0615,0.0615,1536000
1973-01-24,0.062,0.0632,0.062,0.0625,1587200
1973-01-26,0.062,0.062,0.061,0.062,1126400
1973-01-29,0.0615,0.0615,0.0598,0.0598,972800
1973-01-30,0.0593,0.0593,0.0586,0.0588,1280000
1973-01-31,0.0586,0.0586,0.0579,0.0579,512000
1973-02-01,0.0584,0.0598,0.0584,0.0591,3123200
1973-02-02,0.0591,0.0598,0.0588,0.0591,2560000
1973-02-05,0.0591,0.0591,0.0591,0.0591,102400
1973-02-06,0.0591,0.0593,0.0588,0.0588,1177600
1973-02-07,0.0591,0.0596,0.0591,0.0596,3328000
1973-02-08,0.0596,0.0596,0.0586,0.0586,870400
1973-02-09,0.0586,0.0586,0.0581,0.0586,1024000
1973-02-12,0.0586,0.0605,0.0586,0.0605,2252800
1973-02-13,0.0605,0.0608,0.0603,0.0605,819200
1973-02-14,0.0605,0.0605,0.0601,0.0605,1024000
1973-02-15,0.061,0.0615,0.061,0.0615,972800
1973-02-16,0.0625,0.0635,0.0625,0.063,1331200
1973-02-20,0.0635,0.064,0.0635,0.064,5836800
1973-02-21,0.064,0.064,0.0637,0.0637,1331200
1973-02-22,0.0637,0.0637,0.062,0.062,13619200
1973-02-23,0.062,0.0625,0.0618,0.0623,2150400
1973-02-26,0.062,0.062,0.0618,0.0618,819200
1973-02-27,0.0618,0.0618,0.0613,0.0613,1433600
1973-02-28,0.0605,0.0605,0.0603,0.0605,2560000
1973-03-01,0.0601,0.0601,0.0601,0.0601,102400
1973-03-02,0.0598,0.0598,0.0593,0.0596,2611200
1973-03-05,0.0596,0.0596,0.0581,0.0581,8345600
1973-03-06,0.0581,0.0584,0.0552,0.0554,5990400
1973-03-07,0.0547,0.0547,0.0513,0.054,5120000
1973-03-08,0.0552,0.0581,0.0552,0.0566,3276800
1973-03-09,0.0566,0.0566,0.0552,0.0559,2560000
1973-03-12,0.0562,0.0566,0.0562,0.0562,563200
1973-03-13,0.0557,0.0557,0.0544,0.0544,1484800
1973-03-14,0.0544,0.0562,0.0544,0.0557,1792000
1973-03-15,0.0557,0.0569,0.0547,0.0547,716800
1973-03-16,0.0542,0.0542,0.053,0.0542,1126400
1973-03-19,0.0537,0.0537,0.053,0.053,512000
1973-03-20,0.0527,0.0527,0.0518,0.0518,153600
1973-03-21,0.0518,0.0518,0.0508,0.0508,2201600
1973-03-22,0.0493,0.0493,0.0422,0.0422,4300800
1973-03-23,0.0422,0.043,0.042,0.0427,5529600
1973-03-26,0.0427,0.0432,0.0427,0.043,1382400
1973-03-27,0.043,0.0447,0.0427,0.0447,4864000
1973-03-28,0.0444,0.0444,0.0439,0.0439,870400
1973-03-29,0.0442,0.0442,0.0442,0.0442,51200
1973-03-30,0.0444,0.0447,0.0444,0.0444,1382400
1973-04-02,0.0444,0.0447,0.0439,0.0447,1536000
1973-04-03,0.0447,0.0447,0.0447,0.0447,153600
1973-04-04,0.0447,0.0447,0.0442,0.0447,512000
1973-04-05,0.0437,0.0437,0.0425,0.0425,1433600
1973-04-06,0.0425,0.0425,0.0425,0.0425,153600
1973-04-09,0.0425,0.0425,0.0425,0.0425,51200
1973-04-10,0.0425,0.043,0.0425,0.0427,1331200
1973-04-11,0.0427,0.043,0.0422,0.0425,460800
1973-04-12,0.0425,0.0425,0.0425,0.0425,153600
1973-04-13,0.0425,0.0425,0.0422,0.0425,307200
1973-04-16,0.042,0.042,0.0415,0.0418,921600
1973-04-17,0.0418,0.0418,0.0418,0.0418,0
1973-04-18,0.0415,0.0415,0.0413,0.0415,768000
1973-04-19,0.0415,0.0427,0.0415,0.0427,716800
1973-04-23,0.043,0.0439,0.043,0.0439,2867200
1973-04-24,0.0447,0.0452,0.0447,0.0452,716800
1973-04-25,0.0452,0.0454,0.0452,0.0452,1433600
1973-04-26,0.0452,0.0452,0.0449,0.0449,2867200
1973-04-27,0.0449,0.0452,0.0439,0.0439,1126400
1973-04-30,0.0437,0.0437,0.0437,0.0437,512000
1973-05-01,0.0435,0.0435,0.0435,0.0435,256000
1973-05-02,0.0432,0.0432,0.0432,0.0432,51200
1973-05-03,0.0432,0.0432,0.043,0.0432,204800
1973-05-04,0.0437,0.0439,0.0437,0.0439,1177600
1973-05-07,0.0435,0.0435,0.0435,0.0435,51200
1973-05-08,0.0435,0.0435,0.0435,0.0435,0
1973-05-09,0.0437,0.0442,0.0437,0.0439,460800
1973-05-10,0.0439,0.0439,0.0439,0.0439,409600
1973-05-11,0.0435,0.0435,0.0435,0.0435,102400
1973-05-14,0.0427,0.0427,0.0415,0.0418,3072000
1973-05-15,0.0415,0.0415,0.0415,0.0415,768000
1973-05-16,0.0415,0.0415,0.0415,0.0415,0
1973-05-17,0.042,0.0422,0.042,0.042,1843200
