"MacroTrends Data Download"
"XOM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
1970-01-02,1.9297,1.9375,1.9256,1.9375,1174400
1970-01-05,1.9375,1.9688,1.9334,1.9688,1881600
1970-01-06,1.9688,1.9728,1.9453,1.9647,1232000
1970-01-07,1.9647,1.9647,1.9494,1.9531,918400
1970-01-08,1.9531,1.9688,1.9453,1.9569,1075200
1970-01-09,1.9569,1.9647,1.9494,1.9647,1072000
1970-01-12,1.9647,1.9688,1.9494,1.9494,892800
1970-01-13,1.9494,1.9609,1.9416,1.9416,1248000
1970-01-14,1.9416,1.9453,1.9334,1.9453,1328000
1970-01-15,1.9453,1.9453,1.9219,1.9256,1206400
1970-01-16,1.9256,1.9375,1.9256,1.9334,1100800
1970-01-19,1.9334,1.9375,1.9219,1.9334,700800
1970-01-20,1.9334,1.9453,1.9256,1.9256,1241600
1970-01-21,1.9256,1.9375,1.9219,1.9219,841600
1970-01-22,1.9219,1.9256,1.9063,1.9103,1382400
1970-01-23,1.9103,1.9103,1.8791,1.8828,1878400
1970-01-26,1.8828,1.8906,1.875,1.8869,1043200
1970-01-27,1.8791,1.8791,1.8594,1.875,2054400
1970-01-28,1.875,1.875,1.8125,1.8166,1488000
1970-01-29,1.8006,1.8006,1.7772,1.7772,1548800
1970-01-30,1.7734,1.7734,1.75,1.7619,2172800
1970-02-02,1.7619,1.7619,1.75,1.75,2755200
1970-02-03,1.75,1.7969,1.7422,1.7853,2572800
1970-02-04,1.7853,1.7891,1.7734,1.7813,2003200
1970-02-05,1.7813,1.7813,1.7734,1.7772,1676800
1970-02-06,1.7541,1.7541,1.7306,1.7344,1635200
1970-02-09,1.7344,1.7422,1.7228,1.7266,1398400
1970-02-10,1.7188,1.7188,1.6484,1.6641,2777600
1970-02-11,1.6641,1.6756,1.6406,1.6756,2316800
1970-02-12,1.6719,1.6719,1.6094,1.6328,2611200
1970-02-13,1.6328,1.6369,1.6094,1.625,2380800
1970-02-16,1.5859,1.5859,1.5666,1.5744,3497600
1970-02-17,1.5744,1.5744,1.5584,1.5666,3078400
1970-02-18,1.5859,1.6641,1.5859,1.6522,4438400
1970-02-19,1.6756,1.7069,1.6756,1.6756,3376000
1970-02-20,1.6756,1.7266,1.6563,1.7228,4480000
1970-02-24,1.7228,1.7734,1.7109,1.7147,3750400
1970-02-25,1.7147,1.7459,1.6563,1.7422,4771200
1970-02-26,1.7266,1.7266,1.6834,1.6916,3705600
1970-02-27,1.6916,1.7147,1.6875,1.6875,4137600
1970-03-02,1.6875,1.7147,1.6719,1.6719,5107200
1970-03-03,1.6719,1.6797,1.6522,1.6641,5152000
1970-03-04,1.6641,1.6797,1.6641,1.6719,4838400
1970-03-05,1.6719,1.6994,1.6719,1.6875,4912000
1970-03-06,1.6797,1.6797,1.6603,1.6719,4780800
1970-03-09,1.6681,1.6681,1.6522,1.6522,7699200
1970-03-10,1.6522,1.6916,1.6406,1.6834,5878400
1970-03-11,1.6994,1.7188,1.6994,1.7147,3638400
1970-03-12,1.7147,1.7147,1.6875,1.7069,2841600
1970-03-13,1.7069,1.7069,1.6916,1.7069,2582400
1970-03-16,1.7069,1.7069,1.6797,1.7031,2028800
1970-03-17,1.7031,1.7069,1.6875,1.7031,1520000
1970-03-18,1.7031,1.7422,1.7031,1.7188,1958400
1970-03-19,1.7188,1.7344,1.7147,1.7188,1904000
1970-03-20,1.7188,1.7266,1.7109,1.7266,1257600
1970-03-23,1.7266,1.7306,1.7109,1.7228,931200
1970-03-24,1.7266,1.7541,1.7266,1.75,950400
1970-03-25,1.7541,1.7969,1.7541,1.7891,2720000
1970-03-26,1.7891,1.8006,1.7813,1.7931,1932800
1970-03-30,1.7931,1.8084,1.7853,1.8047,1523200
1970-03-31,1.8006,1.8006,1.7853,1.7891,1728000
1970-04-01,1.7931,1.8006,1.7931,1.7969,1168000
1970-04-02,1.7969,1.8084,1.7891,1.7969,1664000
1970-04-03,1.7969,1.8047,1.7813,1.8047,1219200
1970-04-06,1.8006,1.8006,1.7813,1.7931,1100800
1970-04-07,1.7931,1.7931,1.75,1.7578,2217600
1970-04-08,1.7578,1.7619,1.7381,1.7578,902400
1970-04-09,1.7578,1.7772,1.7578,1.7656,896000
1970-04-10,1.7656,1.7656,1.75,1.75,944000
1970-04-13,1.75,1.7578,1.7459,1.7459,1081600
1970-04-14,1.7459,1.75,1.7266,1.7459,1174400
1970-04-15,1.7459,1.7578,1.7422,1.75,748800
1970-04-16,1.75,1.75,1.7266,1.7266,1577600
1970-04-17,1.7228,1.7228,1.6875,1.6916,2560000
1970-04-20,1.6875,1.6875,1.6681,1.6797,1132800
1970-04-21,1.6875,1.6994,1.6875,1.6953,1113600
1970-04-22,1.6953,1.7109,1.6875,1.7031,1212800
